Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0805_2012Metric",-23.1050,31.3870,0.0000,bottom
"C2","10nF","C_0805_2012Metric",-10.5500,46.9000,180.0000,bottom
"C3","100nF","C_0805_2012Metric",-18.7380,37.9910,180.0000,bottom
"C4","10nF","C_0805_2012Metric",-24.8576,40.7596,-90.0000,bottom
"C5","100nF","C_0805_2012Metric",-27.8040,37.7370,180.0000,bottom
"C6","100nF","C_0805_2012Metric",12.3000,-43.4000,0.0000,bottom
"C8","10uF","C_0805_2012Metric",12.2000,-45.7000,0.0000,bottom
"C9","10uF","C_0805_2012Metric",-26.9500,20.6000,180.0000,bottom
"C10","100nF","C_0805_2012Metric",-27.1500,22.6000,180.0000,bottom
"C11","100nF","C_0805_2012Metric",-26.5086,25.3926,90.0000,bottom
"C12","100nF","C_0805_2012Metric",-19.7000,22.7500,-90.0000,bottom
"C13","100nF","C_0805_2012Metric",-15.6000,34.9500,90.0000,bottom
"D1","UCLAMP3301H.TCT","D_SMB",-15.4000,44.1500,-90.0000,bottom
"D2","BZV55C-6,2V","D_MiniMELF",9.6000,-40.8000,180.0000,bottom
"FID1","Fiducial","Fiducial_1mm_Mask2mm",-40.9000,20.8000,0.0000,bottom
"FID2","Fiducial","Fiducial_1mm_Mask2mm",-8.0000,53.0000,0.0000,bottom
"J1","3.3 or 5V","Straight_2x03",21.2300,-51.3000,0.0000,top
"J9","MCX","SMA_Amphenol_901-144_Vertical",0.0000,47.0000,0.0000,bottom
"J1001","HEADER_2x10","Straight_2x10",0.0000,-50.0000,-90.0000,top
"JP1","Jumper_2_Bridged","NetTie-2_SMD_Pad0.5mm",-31.3000,20.8000,-90.0000,bottom
"M1","RFShield_TwoPieces","Laird_Technologies_BMI-S-204-F_32.00x32.00mm",-21.8000,34.6000,180.0000,bottom
"R1","270k","R_0805_2012Metric",-25.8990,45.1030,180.0000,bottom
"R2","3k3","R_0805_2012Metric",-20.0316,41.6994,180.0000,bottom
"R3","33k","R_0805_2012Metric",-22.7748,40.7596,-90.0000,bottom
"R4","33R","R_0805_2012Metric",-1.1000,-44.0875,-90.0000,bottom
"R5","33R","R_0805_2012Metric",-3.8000,-44.0875,-90.0000,bottom
"R6","33R","R_0805_2012Metric",-6.3000,-44.0875,-90.0000,bottom
"R7","33R","R_0805_2012Metric",-8.8000,-44.0875,-90.0000,bottom
"R8","1k","R_0805_2012Metric",-18.0000,30.3125,90.0000,bottom
"R9","1k","R_0805_2012Metric",-18.0000,26.9125,90.0000,bottom
"U2","OPA314","SOT-23-5",-27.8040,42.0296,-90.0000,bottom
"U3","ISL21080CIH330Z-TK","SOT-23",-16.6326,22.9051,0.0000,bottom
"U4","LTC1865-MS","MSOP-10_3x3mm_P0.5mm",-23.6130,26.5610,-90.0000,bottom
"U5","OPA314","SOT-23-5",-18.7000,34.8000,90.0000,bottom
