Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id
1,Unpolarized capacitor,C,C2C4,10nF,C_0805_2012Metric,2,,5c70984712875079b91f8b49
2,Unpolarized capacitor,C,C1C3C5C6C10C11C12C13,100nF,C_0805_2012Metric,8,,5c70984712875079b91f8b4c
3,Unpolarized capacitor,C,C8C9,10uF,C_0805_2012Metric,2,,5c70984812875079b91f8bbe
4,Zener diode,D_Zener,D2,"BZV55C-6,2V",D_MiniMELF,1,,604b0326128750769e5b0f93
5,"600W unidirectional Transil Transient Voltage Suppressor, 12Vrwm, DO-214AA",SM6T12A,D1,UCLAMP3301H.TCT,D_SMB,1,https://www.st.com/resource/en/datasheet/sm6t.pdf,612514fe1287500165a976f3
6,2x10 2.54 mm pitch header,HEADER_2x10,J1001,HEADER_2x10,Straight_2x10,1,,
7,"coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)",Conn_Coaxial,J9,MCX,SMA_Amphenol_901-144_Vertical,1,,5fa10cc512875025b39779f6
8,Two-piece EMI RF shielding cabinet,RFShield_TwoPieces,M1,RFShield_TwoPieces,Laird_Technologies_BMI-S-204-F_32.00x32.00mm,1,,5c72751c1287500b4e11301a
9,Resistor,R,R4R5R6R7,33R,R_0805_2012Metric,4,,5c70984512875079b91f8970
10,Resistor,R,R8R9,1k,R_0805_2012Metric,2,,5c70984512875079b91f898c
11,Resistor,R,R2,3k3,R_0805_2012Metric,1,,5c70984612875079b91f8993
12,Resistor,R,R3,33k,R_0805_2012Metric,1,,5c70984712875079b91f8a8a
13,Resistor,R,R1,270k,R_0805_2012Metric,1,,5c70984712875079b91f8aa0
14,"2.0V 25μA Micropower Voltage Reference, SOT-23",ISL21070CIH320Z-TK,U3,ISL21080CIH330Z-TK,SOT-23,1,http://www.intersil.com/content/dam/Intersil/documents/fn75/fn7599.pdf,67d36d64ee7fc534862c3ebc
15,"Dual channel 16-bit SAR Analog to Digital Converter, 5V supply, 150ksps, SPI interface",LTC1865-MS,U4,LTC1865-MS,MSOP-10_3x3mm_P0.5mm,1,https://www.analog.com/media/en/technical-documentation/data-sheets/18645fb.pdf,651eae84462c6d9e7205573b
16,"50μV V OS, 0.25μV/°C, 35μA CMOS OPERATIONAL AMPLIFIERS, Zerø-Drift Series, SOT",OPA330xxDBV,U2U5,OPA314,SOT-23-5,2,http://www.ti.com/lit/ds/symlink/opa330.pdf,5c70984412875079b91f879a
